obj_combo,geoscore,att_type,att_score,material_score,total_score
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.06645233,0,0.5362207299999999
"('red_flat_piece_1mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.06645234,0,0.53622074
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.1179257,0,0.5876941
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.1419624,0,0.6117307999999999
"('red_flat_piece_1mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.1419624,0,0.6117307999999999
"('red_flat_piece_2mag.ply', 'red_cylinder_magnetic.ply')",0.4697684,magnetic,0.1934358,0,0.6632042
"('red_flat_piece_2mag.ply', 'red_flat_piece_1mag.ply')",0.9688354,magnetic,0.1310258,0,1.0998612
"('red_flat_piece_1mag.ply', 'red_flat_piece_2mag.ply')",0.9688354,magnetic,0.1310258,0,1.0998612
"('red_flat_piece_1mag.ply', 'red_flat_piece_2mag.ply')",0.9688354,magnetic,0.1824968,0,1.1513322
"('red_flat_piece_2mag.ply', 'red_flat_piece_1mag.ply')",0.9688354,magnetic,0.1824992,0,1.1513346
"('red_cylinder_magnetic.ply', 'red_flat_piece_1mag.ply')",1.761099,magnetic,0.06618743,0,1.82728643
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",1.761099,magnetic,0.06618743,0,1.82728643
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",1.761099,magnetic,0.1176583,0,1.8787573
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",1.761099,magnetic,0.1421069,0,1.9032059
"('red_cylinder_magnetic.ply', 'red_flat_piece_1mag.ply')",1.761099,magnetic,0.1421069,0,1.9032059
"('red_cylinder_magnetic.ply', 'red_flat_piece_2mag.ply')",1.761099,magnetic,0.1935778,0,1.9546767999999999
"('red_flat_piece_2mag.ply', 'yellow_foam.ply')",0.47576,None,inf,0,inf
"('yellow_foam.ply', 'red_flat_piece_2mag.ply')",1.552113,None,inf,0,inf
"('yellow_foam.ply', 'red_flat_piece_2mag.ply')",1.552113,None,inf,0,inf
"('yellow_foam.ply', 'red_cylinder_magnetic.ply')",0.959716,None,inf,0,inf
"('red_flat_piece_1mag.ply', 'yellow_foam.ply')",0.47576,None,inf,0,inf
"('red_cylinder_magnetic.ply', 'yellow_foam.ply')",1.20284,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'yellow_foam.ply')",0.47576,None,inf,0,inf
"('yellow_foam.ply', 'red_flat_piece_1mag.ply')",1.552113,None,inf,0,inf
"('red_flat_piece_1mag.ply', 'yellow_foam.ply')",0.47576,None,inf,0,inf
"('red_cylinder_magnetic.ply', 'yellow_foam.ply')",1.20284,None,inf,0,inf
"('red_flat_piece_2mag.ply', 'yellow_foam.ply')",0.47576,None,inf,0,inf
"('yellow_foam.ply', 'red_cylinder_magnetic.ply')",0.959716,None,inf,0,inf
"('yellow_foam.ply', 'red_flat_piece_2mag.ply')",1.552113,None,inf,0,inf
"('yellow_foam.ply', 'red_flat_piece_1mag.ply')",1.552113,None,inf,0,inf
"('red_cylinder_magnetic.ply', 'yellow_foam.ply')",1.20284,None,inf,0,inf
"('yellow_foam.ply', 'red_cylinder_magnetic.ply')",0.959716,None,inf,0,inf
